countryName,stateName,cityName,uniName,commission,commissionType,logoUrl,website,aboutUs,address,coverImageUrl,campusLifeLinks,sysCountryId,sysStateId,sysCityId,id
United Kingdom,England,London,Demo University London 1,17,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc,115a6f7c-88ab-4877-8c69-7fdfc183df15,b4ce7576-844b-490d-9238-51a6064cd021,38912944-f04f-4479-aec5-14ebb342a652,827faa5c-2f11-4702-9cc0-e9a9908a1ab3
United Kingdom,England,Manchester,Demo University Manchester 2,20,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc,115a6f7c-88ab-4877-8c69-7fdfc183df15,b4ce7576-844b-490d-9238-51a6064cd021,f1560257-ef1a-4761-bc9a-709ab0562727,b64f2e6c-22bc-4746-8d54-5847eaf8f08f
United Kingdom,Scotland,Edinburgh,Demo University Edinburgh 3,20,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc,115a6f7c-88ab-4877-8c69-7fdfc183df15,481c5e56-2192-45a0-a2d0-2f2f6f267780,028884c6-4349-45a9-92a7-d156b33a3b44,1ffe8c31-49d2-4cdb-b1fc-fed28fe60684
United Kingdom,Wales,Cardiff,Demo University Cardiff 4,12,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc,115a6f7c-88ab-4877-8c69-7fdfc183df15,50e8438b-bf3c-49d5-8ef0-37084cdde275,1f8d7f23-0b5b-4150-8602-1ca5fedf9d0b,847a929b-f96c-4855-a2a7-b678c169d8b4
Canada,Ontario,Toronto,Demo University Toronto 5,1905,AMOUNT,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc,5c6a58c4-6ac2-49d4-a2a8-8c066f904c9b,4d3d0bc3-9f63-40f9-9c0c-355cd79e1da8,0d837c32-eb6e-4914-a92c-ef53feb5d431,034fc66b-7473-4896-9ae3-6c25147d9ee5
Canada,Ontario,Ottawa,Demo University Ottawa 6,24,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc,5c6a58c4-6ac2-49d4-a2a8-8c066f904c9b,4d3d0bc3-9f63-40f9-9c0c-355cd79e1da8,21ab7067-5830-4dde-989c-4483338c1e8e,80ba8600-2c54-439e-92ce-92140a892b31
Canada,British Columbia,Vancouver,Demo University Vancouver 7,20,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc,5c6a58c4-6ac2-49d4-a2a8-8c066f904c9b,2c04fa0e-776d-4f97-ad77-33de3d22d8ac,61836664-0699-4031-85f1-8568912c470b,58954faf-6738-4f57-b00f-0aabbed72ebf
Canada,Quebec,Montreal,Demo University Montreal 8,13,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc,5c6a58c4-6ac2-49d4-a2a8-8c066f904c9b,b959201d-5fae-4223-ad0e-fc930d1225f0,c7744792-2e95-49ac-9d35-a9b92e0e45f5,7fb718ed-7d7e-43ac-b20c-f8c3dd434d24
Australia,New South Wales,Sydney,Demo University Sydney 9,4597,AMOUNT,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc,afe722a0-08f1-4b88-ae83-ac26a9c7de7c,6d9e4ed8-25b1-4225-b5ff-cc68c77f8cd4,0189027f-a9f1-49a4-b144-23cf56a8f775,ed72fe32-66ad-40fd-b695-c1006345611f
Australia,Victoria,Melbourne,Demo University Melbourne 10,22,PERCENTAGE,https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,http://lca.anglia.ac.uk/,"ARU London offers an exciting portfolio of undergraduate and postgraduate degree programmes in business and finance.  Choose to specialise in international business, accounting, marketing, law or HRM. Also on offer are full-time and part-time ACCA (Association of Chartered Certified Accountants) courses.
Study for degrees in hospitality and healthcare disciplines with guaranteed work placements within the industry, linking academic learning with the reality of the industry workplace.
ARU London's ethos is simple: to provide highly competitively priced, top quality business education geared to the contemporary student’s need for flexibility as well as the employer’s need for direct relevance.
ARU London is part of Anglia Ruskin University.","London, England",https://siuk-europe.s3.amazonaws.com/static/original_images/aru-london-logo-230.jpg,https://www.youtube.com/watch?v=jiYjHbLv8Vc,afe722a0-08f1-4b88-ae83-ac26a9c7de7c,de4f1024-23ee-4382-8da0-db2c671eeccd,f811bd59-4117-49ee-ad6a-280d6a504f2a,cdfc77af-1fff-4242-a19b-77c21f4b79bf
